"Taxonomic Group","Scientific Name","Common Name","NC Status","Federal Status","State Rank","Global Rank","County","County Status","
          Habitat Comment
        "
"Dragonfly or Damselfly","Hylogomphus parvidens (syn. Gomphus parvidens)","Piedmont Clubtail","W2","none","S3","G4","Buncombe","Current","small woodland streams with sandy bottoms"
"Vascular Plant","Hypericum buckleyi","Blue Ridge St. John's-wort","W1","none","S3","G3","Buncombe","Current","high elevation rocky summits, granitic domes, grassy balds"
"Vascular Plant","Hypericum graveolens","Mountain St. John's-wort","W1","none","S2S3","G3","Buncombe","Historical","high elevation balds, outcrops, seeps"
"Vascular Plant","Hypericum mitchellianum","Mitchell's St. John's-wort","W1","none","S2S3","G3","Buncombe","Historical","high elevation balds, outcrops, seeps"
"Arachnid","Hypochilus coylei","a Lampshade Weaver","SR","none","S1","G3?","Buncombe","Current","rock outcrops (endemic to Chimney Rock vicinity of North Carolina)"
"Arachnid","Hypochilus sheari","a Lampshade Weaver","SR","none","S1","G2","Buncombe","Current","rock outcrops (endemic to North Carolina)"
"Lichen","Hypotrachyna virginica","Virginia Loop Lichen","SC-V","none","S1S2","G1G2","Buncombe","Historical","on twigs or rocks in open forests at high elevations"
"Stonefly","Isoperla bellona","Smokies Stripetail","SR","none","S1","G3","Buncombe","Current","small streams"
"Vascular Plant","Isotria verticillata","Large Whorled Pogonia","W1","none","S2S3","G5","Buncombe","Historical","forests"
"Vascular Plant","Jeffersonia diphylla","Twinleaf","T","none","S1","G5","Buncombe","Current","rich cove forests, especially over calcareous rocks"
"Vascular Plant","Juglans cinerea","Butternut","W5","none","S2S3","G3","Buncombe","Historical","cove forests, rich woods"
"Vascular Plant","Juncus secundus","Nodding Rush","W7","none","S1S2","G5?","Buncombe","Current","rock outcrops and glades"
"Vascular Plant","Juniperus communis var. depressa","Dwarf Juniper","T","none","S1","G5T5","Buncombe","Historical","high elevation granitic domes, low elevation rocky summits"
"Vascular Plant","Kalmia carolina","Sheep-laurel","","none","S4","G4","Buncombe","Historical","Mountain bogs, rocky woodlands, sandy woodlands, pocosins, savannahs, bogs"
"Vascular Plant","Krigia biflora ssp. biflora (syn. Krigia biflora var. biflora)","Two-flower Dwarf-dandelion","W7","none","S2","G5T5","Buncombe","Historical","rich mesic woods"
"Reptile","Lampropeltis triangulum","Milk Snake","W2","none","S3","G5","Buncombe","Current","wooded slopes, pastures, meadows, especially in rocky areas"
"Mammal","Lasiurus seminolus","Seminole Bat","W2","none","S3","G5","Buncombe","Current","forages over open areas, often over water (summer); mainly in southern half of the state"
"Vascular Plant","Lathyrus venosus","Smooth Peavine","W1","none","S3","G5","Buncombe","Current","rich bottomlands and rocky slopes, generally over mafic rocks"
"Lichen","Lecanora masana","Masa's dots","W1","none","S3","GNR","Buncombe","Current","high elevation firs, hardwoods, and rhododendrons"
"Liverwort","Lejeunea blomquistii","A Liverwort","SC-V","none","S1","G3","Buncombe","Current","on dead tree bark or vertical rock faces in spray zone of waterfalls"
"Moss","Leskeella nervosa","Common Fine Moss","SR-O","none","S1S2","G5","Buncombe","Current","dry or moist, shaded substrates"
"Dragonfly or Damselfly","Lestes eurinus","Amber-winged Spreadwing","W2","none","S3","G5","Buncombe","Current","lakes and ponds with emergent vegetation"
"Vascular Plant","Liatris turgida","Shale-barren Blazing-star","SR-T","none","S1S2","G3","Buncombe","Historical","dry rocky woods"
"Vascular Plant","Lilium canadense","Canada Lily","E","none","S1","G5","Buncombe","Current","bogs, wet meadows"
"Vascular Plant","Lilium grayi","Gray's Lily","T","none","S1S2","G1G2","Buncombe","Current","bogs, wet meadows, seeps, grassy balds, high elevation forests"
"Lichen","Lobarina scrobiculata","Textured Lungwort","SR-P","none","S2?","G5","Buncombe","Historical","trunks of deciduous trees, on moss-covered rocks, and occasionally on conifers, primarily in areas of high relative humidity"
"Vascular Plant","Lonicera canadensis","American Fly-honeysuckle","SR-P","none","S2","G5","Buncombe","Current","bogs, moist woods"
"Vascular Plant","Lonicera flava","Yellow Honeysuckle","W1","none","S3","G5?","Buncombe","Current","thin soils around rock outcrops, mainly mafic"
"Natural Community","Low Elevation Acidic Glade (Biltmore Sedge Subtype)","","","none","S2","G2G3","Buncombe","Current","null"
"Natural Community","Low Elevation Basic Glade (Montane Subtype)","","","none","S2","G2","Buncombe","Current","null"
"Natural Community","Low Elevation Granitic Dome","","","none","S2","G2","Buncombe","Current","null"
"Natural Community","Low Elevation Rocky Summit (Acidic Subtype)","","","none","S2","G3?","Buncombe","Current","null"
"Natural Community","Low Elevation Seep (Floodplain Subtype)","","","none","S2","G4","Buncombe","Current","null"
"Natural Community","Low Elevation Seep (Montane Subtype)","","","none","S2S3","G2?","Buncombe","Current","null"
"Natural Community","Low Montane Red Oak Forest","","","none","S4?","G4?","Buncombe","Current","null"
"Bird","Loxia curvirostra","Red Crossbill","SC","none","S2","G5","Buncombe","Current","coniferous forests, preferably spruce-fir"
"Freshwater Fish","Luxilus chrysocephalus","Striped Shiner","SC","none","S1","G5","Buncombe","Historical","French Broad and Hiwassee drainages"
"Vascular Plant","Lysimachia borealis","Maystar","T","none","S1","G5","Buncombe","Current","Northern hardwood forests, rich slope forests, often in second-growth areas (Buncombe, Cherokee, Graham, Haywood)"
"Vascular Plant","Lysimachia fraseri","Fraser's Loosestrife","E","none","S3","G3","Buncombe","Historical","wet forest borders, roadsides, alluvial meadows"
"Moth","Lytrosis permagnaria","A Geometrid Moth","SR","none","S2S3","G3G4","Buncombe","Current","apparently in mixed forests"
"Mayfly","Macdunnoa brunnea","a mayfly","SR","none","S2","G3G4","Buncombe","Historical","French Broad River, Mills River, Hunting Creek, Leepers Creek, Yadkin River, Swift Creek"
"Caddisfly","Manophylax altus","Mount Mitchell Caddisfly","SR","none","S1","G1","Buncombe","Historical","moist vertical rockfaces"
"Lichen","Melanelia stygia","Alpine Camouflage Lichen","SR-D","none","S2S3","G5","Buncombe","Current","high elevation rocky summits"
"Grasshopper or Katydid","Melanoplus acrophilus","a Spur-throat Grasshopper","W3","none","S2S3","G2G3","Buncombe","Historical","montane forests?; endemic to the southern Appalachians"
"Grasshopper or Katydid","Melanoplus carnegiei","Carnegie Short-wing Grasshopper","SR","none","SH","GU","Buncombe","Historical","open pine and oak forests (Buncombe*)"
"Grasshopper or Katydid","Melanoplus cherokee","Cherokee Melanoplus","SR","none","S2?","G1G3","Buncombe","Historical","grassy balds, woodland margins and openings"
"Grasshopper or Katydid","Melanoplus deceptus","Deceptive Melanoplus","W2","none","S3","G2G4","Buncombe","Current","mountain slopes and tops, 4000'-5700'"
"Grasshopper or Katydid","Melanoplus devius","Devious Short-wing Grasshopper","W3","none","SU","GU","Buncombe","Current","dry montane forests at middle elevations; no locality information"
"Grasshopper or Katydid","Melanoplus divergens","Divergent Melanoplus","SR","none","SH","G2G3","Buncombe","Historical","glades and balds, mainly at high elevations (Haywood*, Henderson*, Jackson*, Macon*, Swain*)"
"Grasshopper or Katydid","Melanoplus sylvestris (syn. Melanoplus celatus)","a Spur-throat Grasshopper","W3","none","S3?","G1G3","Buncombe","Historical","deciduous forest undergrowth, especially near low-growing ericads (endemic to North Carolina)"
"Freshwater or Terrestrial Gastropod","Mesodon andrewsae","Balsam Globe","SR","none","S2S3","G3","Buncombe","Current","high elevation forests, from Madison County to southwestern Virginia"
"Freshwater or Terrestrial Gastropod","Mesomphix andrewsae","Mountain Button","W2","none","S3S4","G3G4","Buncombe","Current","acidic upland hardwood forests"
"Liverwort","Metzgeria consanguinea","A Liverwort","SR-D","none","S1S2","G4","Buncombe","Current","Fraser fir forests and hemlock forests"
"Liverwort","Metzgeria pubescens","A Liverwort","W7","none","SH","G5","Buncombe","Historical","on bark of trees"
"Liverwort","Metzgeria violacea","A Liverwort","SR-D","none","S1S2","G4","Buncombe","Current","bark of trees"
"Vascular Plant","Micranthes careyana","Carey Saxifrage","W1","none","S3","G3","Buncombe","Current","seepy rock faces"
"Arachnid","Microhexura montivaga","Spruce-fir Moss Spider","SR","E","S1","G2","Buncombe","Current","in moss of spruce-fir forests (endemic to North Carolina and adjacent Tennessee)"
"Vascular Plant","Monotropsis odorata","Sweet Pinesap","SR-O","none","S3","G3","Buncombe","Current","dry forests and bluffs"
"Natural Community","Montane Alluvial Forest (High Terrace Subtype)","","","none","S1","G4?","Buncombe","Current","null"
"Natural Community","Montane Alluvial Forest (Large River Subtype)","","","none","S1","G2?","Buncombe","Current","null"
"Natural Community","Montane Alluvial Forest (Small River Subtype)","","","none","S1","G3","Buncombe","Current","null"
"Natural Community","Montane Cliff (Acidic Subtype)","","","none","S3","G3G4","Buncombe","Current","null"
"Natural Community","Montane Cliff (Mafic Subtype)","","","none","S3","G3","Buncombe","Current","null"
"Natural Community","Montane Floodplain Slough Forest","","","none","S1","G1","Buncombe","Current","null"
"Natural Community","Montane Oak--Hickory Forest (Acidic Subtype)","","","none","S4S5","G4G5","Buncombe","Current","null"
"Natural Community","Montane Oak--Hickory Forest (Basic Subtype)","","","none","S3","G3","Buncombe","Current","null"
"Natural Community","Montane Red Cedar-Hardwood Woodland","","","none","S2","G2","Buncombe","Current","null"
"Vascular Plant","Muhlenbergia mexicana","Mexican Muhly","W7","none","S1?","G5","Buncombe","Current","forests and openings"
"Vascular Plant","Muhlenbergia sobolifera","Rock Muhly","T","none","S2","G5","Buncombe","Current","dripping cliffs and rocky slopes"
"Vascular Plant","Muhlenbergia sylvatica","Woodland Muhly","W7","none","S1S2","G5","Buncombe","Current","rich alluvial forests"
"Mammal","Mustela nivalis","Least Weasel","SR-G","none","S2","G5","Buncombe","Current","fields and forests, mostly at high elevations"
"Mammal","Myotis grisescens","Gray Bat","E","E","S1","G3G4","Buncombe","Current","roosts in caves; forages mainly over open water"
"Mammal","Myotis leibii","Eastern Small-footed Bat","SC","none","S2","G4","Buncombe","Current","roosts in hollow trees and in rock crevices (warmer months), in caves and mines (winter)"
"Mammal","Myotis lucifugus","Little Brown Bat","E","none","S2","G3G4","Buncombe","Current","roosts in buildings (summer), in caves and mines (winter)"
"Mammal","Myotis septentrionalis","Northern Long-eared Bat","T","E","S2","G2G3","Buncombe","Current","roosts in hollow trees and buildings (warmer months), in caves and mines (winter); mainly in the mountains"
"Vascular Plant","Nabalus roanensis","Roan Rattlesnakeroot","W1","none","S3","G3","Buncombe","Current","grassy balds, high elevation forests and outcrops"
"Vascular Plant","Najas gracillima","Slender Waternymph","W7","none","S2","G5?","Buncombe","Historical","pools and lakes"
"Vascular Plant","Nanopanax trifolius","Dwarf Ginseng","W1","none","S3","G5","Buncombe","Current","cove forests, northern hardwoods, other rich forests"
"Liverwort","Nardia scalaris ssp. scalaris","A Liverwort","SR-D","none","S1","G5T5","Buncombe","Current","on high elevation rocky summits and on moist rocks in spruce-fir forests"
"Amphibian","Necturus maculosus","Mudpuppy","SC","none","S2","G5","Buncombe","Historical","rivers and large streams in New, French Broad, and Little Tennessee drainages"
"Mammal","Neogale frenata (syn. Mustela frenata)","Long-tailed Weasel","W3","none","S3","G5","Buncombe","Current","forests, brushy areas"
"Liverwort","Neoorthocaulis attenuatus (syn. Barbilophozia attenuata)","A Liverwort","W7","none","S2","G5","Buncombe","Historical","on rocks in spruce-fir forests"
"Mammal","Neotoma floridana haematoreia","Southern Appalachian Eastern Woodrat","W2","none","S3S4","G5T4Q","Buncombe","Current","rocky places in deciduous or mixed forests, in southern mountains and adjacent Piedmont"
"Mammal","Neotoma magister","Allegheny Woodrat","SC","none","S2S3","G3G4","Buncombe","Current","rocky places and abandoned buildings in deciduous or mixed forests in the northern mountains and adjacent Piedmont "
"Arachnid","Nesticus crosbyi","a Cave Cobweb Spider","SR","none","S2","G1?","Buncombe","Current","spruce-fir forests (endemic to North Carolina)"
"Arachnid","Nesticus gertschi","a Cave Cobweb Spider","SR","none","S2","G1G2","Buncombe","Current","caves"
"Arachnid","Nesticus nasicus","a Cave Cobweb Spider","SR","none","S2","G3?","Buncombe","Current","boulderfields and cove forests (endemic to North Carolina)"
"Beetle","Nicrophorus americanus","American Burying Beetle","SR","E","SH","G3","Buncombe","Historical","sites with abundance of small vertebrate carrion"
"Natural Community","Northern Hardwood Forest (Beech Gap Subtype)","","","none","S1S2","G1","Buncombe","Current","null"
"Natural Community","Northern Hardwood Forest (Rich Subtype)","","","none","S3","G3","Buncombe","Current","null"
"Natural Community","Northern Hardwood Forest (Typic Subtype)","","","none","S3","G3G4","Buncombe","Current","null"
"Freshwater Fish","Notropis micropteryx","Highland Shiner","SR","none","S2","G5","Buncombe","Current","French Broad, Little Tennessee, and Hiwassee drainages"
"Freshwater Fish","Notropis photogenis","Silver Shiner","W5","none","S3","G5","Buncombe","Current","mountain drainages (except Pigeon)"
"Freshwater Fish","Notropis rubricroceus","Saffron Shiner","W5","none","S3","G4G5","Buncombe","Current","most mountain drainages, but mainly French Broad and Toe"
"Freshwater Fish","Noturus flavus","Stonecat","E","none","S1","G5","Buncombe","Current","Nolichucky, French Broad, and Little Tennessee drainages"
"Freshwater or Terrestrial Gastropod","Novisuccinea ovalis","Oval Ambersnail","SR","none","S2S3","G5","Buncombe","Current","a variety of montane forests, at all elevations (Avery, Madison, Mitchell, Swain, Watauga, Yancey) "
"Vascular Plant","Oligoneuron rigidum","Prairie Bold Goldenrod","T","none","S1","G5T5","Buncombe","Historical","glades, barrens, other open sites over mafic or calcareous rock"
"Dragonfly or Damselfly","Ophiogomphus incurvatus","Appalachian Snaketail","W2","none","S3","G3","Buncombe","Current","small to medium streams"
"Dragonfly or Damselfly","Ophiogomphus mainensis","Maine Snaketail","W2","none","S3","G4G5","Buncombe","Current","rapids of rivers and streams (Ashe, Buncombe, Burke, Caldwell, Haywood, Jackson, Madison, Mitchell, Swain*, Watauga, Wilkes, Yancey*)"
"Vascular Plant","Oreojuncus trifidus","Highland Rush","T","none","S1","G5","Buncombe","Current","high elevation rocky summits"
"Vascular Plant","Packera millefolium","Divided-leaf Ragwort","SC-V","none","S2","G3","Buncombe","Current","granitic domes, other outcrops"
"Vascular Plant","Packera schweinitziana","Schweinitz's Ragwort","T","none","S2","G5?","Buncombe","Current","grassy balds"
"Caddisfly","Padunia jeanae","a Caddisfly","W2","none","S3","G4","Buncombe","Current","streams and rivers"
"Vascular Plant","Panax quinquefolius","Ginseng","W1","none","S3S4","G3G4","Buncombe","Current","cove forests, other rich forests"
"Lichen","Pannaria conoplea","Mealy-rimmed Shingle Lichen","SR-D","none","S1","G4G5","Buncombe","Historical","on bark at high elevations"
"Moth","Papaipema astuta","Yellow Stoneroot Borer Moth","SR","none","S1S2","G3?","Buncombe","Current","rich cove forests?"
"Moth","Papaipema cerina","Golden Borer Moth","SR","none","S1S2","G3","Buncombe","Current","northern hardwood forests"
"Moth","Papaipema polymniae","Cup Plant Borer Moth","W3","none","SU","G4?","Buncombe","Current","rich cove forests?"
"Grasshopper or Katydid","Paratylotropidia beutenmuelleri","Beutenmueller's Grasshopper","W3","none","SU","G4","Buncombe","Historical","no habitat information"
"Freshwater or Terrestrial Gastropod","Paravitrea andrewsae","High Mountain Supercoil","SC","none","S2","G2","Buncombe","Current","cove forests with rocky slopes; northern half of the mountains"
"Freshwater or Terrestrial Gastropod","Paravitrea multidentata","Dentate Supercoil","SR","none","S2S3","G5","Buncombe","Current","hillsides, especially near seeps, in hardwood forests"
"Grasshopper or Katydid","Pardalophora apiculata","Coral-winged Grasshopper","W3","none","SU","G5","Buncombe","Historical","no habitat information"
"Vascular Plant","Parietaria pensylvanica","Pennsylvania Pellitory","W7","none","S2","G5","Buncombe","Historical","slopes and bottomlands, usually over calcareous or mafic rocks"
"Vascular Plant","Parnassia grandifolia","Bigleaf Grass-of-Parnassus","T","none","S2","G3","Buncombe","Historical","fens and seeps over calcareous or mafic rocks"
"Vascular Plant","Pedicularis lanceolata","Swamp Lousewort","T","none","S1","G4","Buncombe","Historical","bottomlands, swampy woods"
"Vascular Plant","Pellaea atropurpurea","Purple-stem Cliff-brake","W1","none","S3","G5","Buncombe","Current","limestone outcrops"
"Freshwater Fish","Percina aurantiaca","Tangerine Darter","W2","none","S3","G4","Buncombe","Current","Tennessee drainages"
"Freshwater Fish","Percina burtoni","Blotchside Logperch","E","none","S1","G2G3","Buncombe","Historical","South Toe drainage; formerly in French Broad drainage"
"Freshwater Fish","Percina williamsi","Sickle Darter","SC","T","SX","G2","Buncombe","Historical","formerly in French Broad River"
"Mammal","Perimyotis subflavus","Tricolored Bat","E","PE","S3","G3G4","Buncombe","Current","roosts in clumps of leaves (mainly in summer), caves, rock crevices, and other dark and sheltered places"
"Bird","Peucaea aestivalis","Bachman's Sparrow","SC","none","S3B,S2N","G3","Buncombe","Historical","open longleaf pine forests, old fields [breeding evidence only]"
"Dragonfly or Damselfly","Phanogomphus quadricolor","Rapids Clubtail","SR","none","S1S2","G3G4","Buncombe","Current","rocky rivers"
"Vascular Plant","Phegopteris connectilis","Northern Beech Fern","E","none","S2","G5","Buncombe","Current","spray zone of waterfalls, spruce-fir forests, high elevation seepage bogs"
"Freshwater Fish","Phenacobius crassilabrum","Fatlips Minnow","W2","none","S3","G3G4","Buncombe","Current","Little Tennessee, French Broad, and Toe drainages"
"Vascular Plant","Philadelphus hirsutus","Hairy Mock-orange","W1","none","S2","G5","Buncombe","Current","bluffs, cliffs, and rocky woods, mainly over mafic or calcareous rocks"
"Vascular Plant","Philadelphus inodorus","Scentless Mock-orange","W1","none","S3","G4G5","Buncombe","Historical","bluffs, cliffs, and rocky woods, mainly over mafic or calcareous rocks"
"Vascular Plant","Phlox amplifolia","Largeleaf Phlox","W1","none","S2","G3G5","Buncombe","Historical","hardwood forests on mafic rock"
"Vascular Plant","Phlox subulata","Moss Pink","SR-P","none","S1","G5","Buncombe","Current","outcrops and glades, especially over mafic rocks"
"Butterfly","Phyciodes batesii maconensis","Appalachian Tawny Crescent","SR","none","S2","G3G4T3","Buncombe","Historical","woodland openings, glades, and road banks at higher elevations; host plants -- asters, mainly Symphyotrichum undulatum"
"Butterfly","Phyciodes incognitus (syn. Phyciodes pascoensis, Phyciodes selenis, Phyciodes cocyta, Phyciodes incognitus, Phyciodes cocyta incognitus)","Incognito Crescent","W3","none","S3?","GU","Buncombe","Current","high to medium elevation openings in woodlands, road banks; host plants -- asters"
"Moss","Physcomitrium serratum","A Moss","SR-O","none","S1S2","G4G5","Buncombe","Current","soil or clay in places subject to inundation"
"Natural Community","Piedmont/Mountain Semipermanent Impoundment (Montane Marsh Subtype)","","","none","S3S4","G3","Buncombe","Current","null"
"Vascular Plant","Pieris floribunda","Fetterbush","W1","none","S2S3","G4","Buncombe","Historical","acid wooded slopes, heath balds at high elevations and summits of Piedmont monadocks"
"Natural Community","Pine--Oak/Heath (High Elevation Subtype)","","","none","S2","G2","Buncombe","Current","null"
"Natural Community","Pine--Oak/Heath (Typic Subtype)","","","none","S3","G3","Buncombe","Current","null"
"Liverwort","Plagiochila exigua","A Liverwort","SR-D","none","S2","G4?","Buncombe","Current","on bark of Fraser Firs in spruce-fir forests, rarely on hardwoods"
"Liverwort","Plagiochila raddiana","A Liverwort","SR-P","none","S1","G5","Buncombe","Current","on bark or moist rock in swamps and mountain gorges"
"Liverwort","Plagiochila retrorsa (syn. Plagiochila sharpii)","Retrorse Leafy Liverwort","W1","none","S3","G4","Buncombe","Current","damp rock faces in humid gorges, high elevation rocky summits"
"Liverwort","Plagiochila sullivantii","A Liverwort","SR-T","none","S2","G3G4","Buncombe","Current","shaded rocks"
"Liverwort","Plagiochila virginica var. caroliniana","A Liverwort","SR-T","none","S1","G4T4","Buncombe","Current","moist rock faces, including spray zone of waterfalls"
"Liverwort","Plagiochila virginica var. virginica","A Liverwort","SR-L","none","S1","G4T3","Buncombe","Current","on limestone"
"Moss","Plagiomnium rostratum","Long-beaked Thread Moss","SR-P","none","S1?","G5","Buncombe","Current","wet rocks"
"Vascular Plant","Platanthera grandiflora","Large Purple-fringed Orchid","SR-P","none","S2","G5","Buncombe","Current","bogs, seeps, grassy balds, high elevation moist forests and banks"
"Vascular Plant","Platanthera herbiola","Northern Rein Orchid","SC-V","none","S1S2","G4?T4Q","Buncombe","Historical","bogs and moist forests"
"Vascular Plant","Platanthera peramoena","Purple Fringeless Orchid","T","none","S2","G5","Buncombe","Historical","bogs, forests"
"Reptile","Plestiodon anthracinus","Coal Skink","SR","none","S2","G5","Buncombe","Current","rocky slopes, wooded hillsides, roadbanks"
"Amphibian","Plethodon amplus","Blue Ridge Gray-cheeked Salamander","SR","none","S1","G2","Buncombe","Current","mesic forests in the Hickorynut Gorge vicinity (endemic to this area)"
"Amphibian","Plethodon ventralis","Southern Zigzag Salamander","SC","none","S2","G4","Buncombe","Current","moist areas of talus slopes or rock outcrops in hardwood forests"
"Amphibian","Plethodon yonahlossee pop. 1","Crevice Salamander","SC","none","S2","G4T1T2Q","Buncombe","Current","Hickorynut Gorge area (endemic to this area); crevices in moist shaded rocks"
"Bird","Poecile atricapillus","Black-capped Chickadee","SC","none","S3","G5","Buncombe","Historical","high elevation forests, mainly spruce-fir [breeding evidence only]"
"Moss","Pohlia rabunbaldensis","A Moss","W7","none","S1","G1","Buncombe","Current","high elevation hardwood forest"
"Vascular Plant","Polygala nana","Dwarf Milkwort","SR-D","none","SX","G5","Buncombe","Historical","habitat in North Carolina not known"
"Vascular Plant","Polygala senega","Seneca Snakeroot","SC-V","none","S2","G4G5","Buncombe","Current","woodlands and in thin soil around outcrops, usually over mafic or calcareous rocks"
"Butterfly","Polygonia faunus","Green Comma","SR","none","S1S2","G5","Buncombe","Current","spruce, fir, or hemlock forests, where mixed with hardwoods; host plants -- mainly birches (Betula)"
"Butterfly","Polygonia progne","Gray Comma","SR","none","S1","G5","Buncombe","Historical","rich deciduous forests; host plants -- mainly gooseberries (Ribes)"
"Freshwater Fish","Polyodon spathula","Paddlefish","E","none","SX","G4","Buncombe","Historical","French Broad River"
"Moss","Polytrichastrum appalachianum (syn. Polytrichum appalachianum)","Appalachian Haircap Moss","W1","none","S3","G3","Buncombe","Historical","rocky summits, mostly in high elevations"
"Butterfly","Pontia protodice","Checkered White","SR","none","S1S2","G4","Buncombe","Current","fields, pastures; host plants -- mustard species (Family Brassicaceae)"
"Lichen","Porpidia macrocarpa","Big-fruited Boulder Lichen","W7","none","S3","G4","Buncombe","Current","rocky summits, granitic flatrocks"
"Vascular Plant","Potamogeton foliosus var. foliosus (syn. Potamogeton foliosus, Potamogeton foliosus ssp. foliosus)","Leafy Pondweed","W1","none","S2","G5T5","Buncombe","Historical","lakes, streams, and ponds"
"Vascular Plant","Potamogeton natans","Floating Pondweed","W4","none","SU","G5","Buncombe","Historical","lakes and artificial impoundments"
"Vascular Plant","Primula meadia","Shooting-star","SC-V","none","S2S3","G5","Buncombe","Current","mafic cliffs, dry coniferous woodlands, and associated nutrient-rich alluvial forests"
"Vascular Plant","Prunus virginiana var. virginiana","Choke Cherry","W7","none","S2","G5T5","Buncombe","Current","oak and northern hardwood forests"
"Moth","Pseudeva purpurigera","Straight-lined Looper","W3","none","S1S2","G5","Buncombe","Current","larvae feed on Meadow Rue"
"Moss","Pterigynandrum filiforme","Twisted Thread Moss","W7","none","S1","G5","Buncombe","Historical","mesic, acidic boulders and rock shelves"
"Stonefly","Pteronarcys comstocki","Spiny Salmonfly","SR","none","S2","G3","Buncombe","Current","medium to large cold streams in French Broad and Catawba drainages"
"Vascular Plant","Pycnanthemum curvipes","Tennessee Mountain-mint","SR-T","none","S1","G3","Buncombe","Current","dry rocky woodlands and rock outcrops"
"Liverwort","Radula tenax","A Liverwort","W7","none","S2","G3G4","Buncombe","Historical","on moist rocks or bark in humid gorges and cove forests"
"Natural Community","Red Spruce--Fraser Fir Forest (Birch Transition Herb Subtype)","","","none","S2","G2","Buncombe","Current","null"
"Natural Community","Red Spruce--Fraser Fir Forest (Birch Transition Shrub Subtype)","","","none","S1","G1?","Buncombe","Current","null"
"Natural Community","Red Spruce--Fraser Fir Forest (Herb Subtype)","","","none","S2","G2","Buncombe","Current","null"
"Natural Community","Red Spruce--Fraser Fir Forest (Rhododendron Subtype)","","","none","S1S2","G1","Buncombe","Current","null"
"Bird","Regulus satrapa","Golden-crowned Kinglet","W2,W5","none","S3S4B,S5N","G5","Buncombe","Current","spruce-fir forests; hardwood forests mixed with spruce or hemlock [breeding season only]"
"Vascular Plant","Rhododendron vaseyi","Pink-shell Azalea","SR-L","none","S3","G3","Buncombe","Current","high elevation oak forests, heath balds, spruce-fir forests, and rocky areas"
"Vascular Plant","Rhynchospora gracilenta","Slender Beak Rush","","none","S2S3","G5","Buncombe","Historical","bogs and savannas"
"Moss","Rhytidium rugosum","Golden Tundra-moss","SR-P","none","S2","G5","Buncombe","Current","high elevation rocky summits, grassy balds, glades, over mafic rocks"
"Natural Community","Rich Cove Forest (Boulderfield Subtype)","","","none","S2","G3","Buncombe","Current","null"
"Natural Community","Rich Cove Forest (Foothills Intermediate Subtype)","","","none","S3","G4?","Buncombe","Current","null"
"Natural Community","Rich Cove Forest (Foothills Rich Subtype)","","","none","S2","G2G3","Buncombe","Current","null"
"Natural Community","Rich Cove Forest (Montane Intermediate Subtype)","","","none","S4","G4","Buncombe","Current","null"
"Natural Community","Rich Cove Forest (Montane Rich Subtype)","","","none","S3","G3G4","Buncombe","Current","null"
"Natural Community","Rich Cove Forest (Red Oak Subtype)","","","none","S2?","G3","Buncombe","Current","null"
"Natural Community","Rich Montane Seep","","","none","S3","G3","Buncombe","Current","null"
"Vascular Plant","Robinia hispida var. fertilis","Fruitful Locust","SR-O","none","S1","G4T1T2","Buncombe","Current","acidic cove forests, northern hardwoods forests, high elevation granitic domes"
"Vascular Plant","Robinia hispida var. kelseyi","Kelsey's Locust","SR-O","none","S1","G4T1","Buncombe","Historical","high elevation red oak forests, dry rocky woods"
"Vascular Plant","Robinia hispida var. rosea","Boynton's Locust","W7","none","S2?","G4T3?","Buncombe","Historical","open woods"
"Natural Community","Rocky Bar and Shore (Alder-Yellowroot Subtype)","","","none","S3","G3G4","Buncombe","Current","null"
"Vascular Plant","Rosa virginiana","Virginia Rose","SR-P","none","SH","G5","Buncombe","Historical","moist to dry forests and woodlands"
"Vascular Plant","Rubus strigosus","Red Raspberry","T","none","S2?","G5T5","Buncombe","Current","high elevation spruce-fir forests and openings"
"Vascular Plant","Rudbeckia laciniata var. humilis","Blue Ridge Cutleaf Coneflower","W7","none","S2?","G5T3?","Buncombe","Current","seeps, stream banks, and boulderfield forests"
"Vascular Plant","Rudbeckia triloba var. beadlei","Chauncey's Coneflower","SR-T","none","S1","G5TNR","Buncombe","Current","mafic cliffs"
"Freshwater Fish","Salvelinus fontinalis","Brook Trout","SR","none","S4","G5","Buncombe","Current","isolated, high-elevation headwater streams"
"Vascular Plant","Sarracenia jonesii","Mountain Sweet Pitcherplant","E","E","S1","G2","Buncombe","Current","bogs"
"Butterfly","Satyrium caryaevorus","Hickory Hairstreak","SR","none","S1","G4","Buncombe","Current","mid elevation to high elevation deciduous forests; host plants -- primarily hickories (Carya)"
"Vascular Plant","Sceptridium jenmanii","Alabama Grape-fern","SC-V","none","S2","G3G4","Buncombe","Historical","moist to dryish forests and disturbed areas"
"Vascular Plant","Sceptridium oneidense","Blunt-lobed Grape-fern","SR-P","none","S2","G4","Buncombe","Historical","cove forests, bogs"
"Moss","Sciuro-hypnum populeum","Matted Feather Moss","SR-P","none","S1","G5","Buncombe","Current","mountain forests"
"Mammal","Sciurus niger","Eastern Fox Squirrel","W2","none","S3","G5","Buncombe","Historical","open forests, mainly longleaf pine/scrub oak"
"Moss","Scopelophila ligulata","Copper Moss","SR-O","none","S1","G5?","Buncombe","Current","copper-rich soils and rock faces"
"Vascular Plant","Scutellaria australis","Southern Skullcap","E","none","S1","G5T5?","Buncombe","Current","alluvial forests"
